bin,n,mean_mm,std_mm,median_q,sqrt_n_bound
187.0,139,6376.769784172662,7.852874067021861,14.0,0.6660720849818873
188.0,139,6403.827338129497,8.46694601064398,14.0,0.7181569874426218
189.0,135,6432.288888888889,8.499334185219316,14.0,0.7315062167379066
190.0,142,6462.605633802817,9.631201324712613,14.0,0.8082324609701202
191.0,138,6495.733695652174,9.946077543697125,14.0,0.8466663464505111
192.0,141,6531.526595744681,11.193776257353777,13.0,0.9426860179119272
193.0,138,6569.644927536232,11.740845618358504,13.0,0.9994471509257915
194.0,136,6609.610294117647,11.802219059468111,12.0,1.0120319351203662
195.0,145,6652.237931034483,13.597140574428416,12.0,1.1291810636421653
196.0,139,6698.577338129497,13.261338084470719,12.0,1.1248120155991455
197.0,143,487.1660839160839,1633.8557230423864,0.0,136.62987938985538
198.0,134,697.8861940298508,2.5121164413102193,25.0,0.21701380750317084
199.0,147,695.8894557823129,0.8783591351444466,31.0,0.07244584044583045
200.0,135,598.0185185185185,235.46858179535158,31.0,20.265908796632793
201.0,138,666.3134057971015,81.14203698261548,33.0,6.907268890051934
202.0,151,676.0645695364238,1.559236879630247,43.0,0.12688889771334505
203.0,128,675.84375,2.017638754022226,37.0,0.17833575561923654
204.0,146,666.9417808219179,2.676693968294744,35.0,0.22152476901471702
205.0,137,662.4306569343066,1.3283288950780907,36.0,0.11348679634764107
206.0,134,659.0839552238806,1.0777761974615145,36.0,0.09310568268301436
207.0,148,657.4864864864865,0.7995448236254581,39.0,0.06572217965463291
208.0,130,657.1807692307692,0.7386186724094913,42.0,0.0647811429846656
209.0,143,656.1258741258741,1.3827006278647875,45.0,0.11562723522837164
210.0,129,646.203488372093,4.535425602128406,37.0,0.3993219581966393
211.0,135,635.4425925925926,1.3868857860425365,38.0,0.11936412338743393
212.0,150,637.035,1.056312917589237,41.0,0.08624758856014028
213.0,131,639.8645038167939,1.445570004020487,48.0,0.12630003767002124
214.0,149,476.1275167785235,279.53633729103854,43.0,22.90050904537958
215.0,131,548.3511450381679,197.96253233937293,36.0,17.296066757180203
216.0,143,616.2517482517483,1.2756165671224668,43.0,0.10667241620888367
217.0,144,617.8975694444445,0.958224061369315,37.0,0.07985200511410959
218.0,132,612.0227272727273,1.7508053069264946,33.5,0.15238804193228014
219.0,142,608.7799295774648,0.8657604343912437,33.0,0.07265300172919754
220.0,138,613.1467391304348,2.0051776640231047,39.0,0.17069205818312397
221.0,140,616.5714285714286,1.6573049855126705,39.0,0.1400678359888816
222.0,141,609.0017730496454,3.4799805589949564,30.0,0.29306723130317414
223.0,134,600.5167910447761,1.7025516457321783,30.0,0.14707806096696105
224.0,147,595.8809523809524,1.5585967227901538,30.0,0.128550891065852
225.0,133,593.1203007518797,0.7260060312062934,32.0,0.06295270675936163
226.0,146,591.6352739726027,1.0879935314244182,31.0,0.0900429853368134
227.0,146,588.4880136986301,1.290326138865147,31.0,0.10678815107423524
228.0,136,585.1452205882352,1.3569284306090685,31.0,0.11635565299455011
229.0,147,284.5612244897959,295.4415585996754,0.0,24.367609055332167
230.0,131,505.5858778625954,221.7778769464558,25.0,19.37682307657909
231.0,151,250.48509933774835,297.05398110975847,0.0,24.173910145914746
232.0,131,439.14885496183206,281.7971545732885,16.0,24.62073171062197
233.0,140,4.464285714285714,52.82214092053228,0.0,4.4642857142857135
234.0,145,165.6844827586207,332.52209098070756,0.0,27.61445660746184
235.0,130,841.8865384615384,3.6013982451562496,28.0,0.3158635211632551
236.0,150,184.49333333333334,348.5854431798149,0.0,28.461882251749497
237.0,127,398.8346456692913,391.0688297266888,19.0,34.70174716877192
238.0,150,698.6633333333333,274.9796209451222,24.0,22.45199203264944
239.0,136,492.84558823529414,395.2993287544585,11.0,33.896637794586546
240.0,137,228.72445255474452,377.4282609628104,0.0,32.245872499229705
241.0,148,0.0,0.0,0.0,0.0
242.0,130,0.0,0.0,0.0,0.0
243.0,151,303.54470198675494,247.30135308649358,10.0,20.12509869802799
244.0,131,181.05343511450383,242.9800977280966,0.0,21.229269707293344
245.0,137,0.0,0.0,0.0,0.0
246.0,144,0.0,0.0,0.0,0.0
247.0,135,0.0,0.0,0.0,0.0
248.0,145,0.0,0.0,0.0,0.0
249.0,136,95.97058823529412,1119.1997666400127,0.0,95.97058823529412
250.0,141,0.0,0.0,0.0,0.0
251.0,143,270.4055944055944,1853.72488344134,0.0,155.0162622529146
252.0,136,661.4724264705883,2850.107630792991,0.0,244.39471309243297
253.0,142,180.7799295774648,1517.8772865379924,0.0,127.37743230446452
254.0,134,1006.4832089552239,3378.232164815851,0.0,291.8348101467779
255.0,146,68.69520547945206,830.047325973745,0.0,68.69520547945206
256.0,139,1197.224820143885,3461.4721222313156,0.0,293.59823344724373
